SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SHREEPUSHK, EQ, 01-Jan-2018, 271.05, 279.00, 284.40, 276.50, 280.00, 280.30, 280.82, 141687, 397.89, 2784, 76238, 53.81
SHREERAMA, EQ, 01-Jan-2018, 19.05, 19.40, 20.20, 18.70, 19.20, 19.05, 19.46, 590794, 114.96, 1141, 280288, 47.44
SHRENIK, SM, 01-Jan-2018, 554.35, 578.00, 582.05, 526.90, 546.50, 545.60, 553.31, 102000, 564.38, 34, 57000, 55.88
SHREYANIND, EQ, 01-Jan-2018, 205.60, 205.70, 208.00, 199.00, 202.50, 203.50, 203.60, 65361, 133.07, 912, 37220, 56.95
SHREYAS, EQ, 01-Jan-2018, 569.85, 569.85, 602.00, 569.85, 600.00, 591.20, 588.72, 9581, 56.41, 607, 3880, 40.50
SHRIPISTON, BE, 01-Jan-2018, 1904.30, 1939.00, 1939.00, 1905.00, 1905.00, 1907.10, 1921.29, 543, 10.43, 67, -, -
SHRIRAMCIT, EQ, 01-Jan-2018, 2106.90, 2100.00, 2115.70, 2073.55, 2115.00, 2109.10, 2099.09, 2687, 56.40, 362, 1991, 74.10
SHRIRAMEPC, EQ, 01-Jan-2018, 31.95, 32.15, 32.90, 29.10, 30.50, 31.10, 31.78, 449418, 142.85, 1830, 272154, 60.56
SHYAMCENT, BE, 01-Jan-2018, 13.25, 13.80, 13.80, 13.00, 13.20, 13.20, 13.34, 55335, 7.38, 120, -, -
SHYAMTEL, BE, 01-Jan-2018, 10.90, 11.40, 11.40, 11.40, 11.40, 11.40, 11.40, 24, 0.00, 2, -, -
SICAGEN, EQ, 01-Jan-2018, 54.05, 54.65, 56.00, 52.70, 53.50, 53.00, 53.93, 145713, 78.59, 985, 84224, 57.80
